question;answer_a;answer_b;answer_c;answer_d;correct;category;explanation;difficulty
In welcher Jahreszeit fallen in Mitteleuropa typischerweise die meisten Blaetter?;Fruehling;Sommer;Herbst;Winter;2;Allgemeinwissen;Im Herbst verlieren viele Baeume ihre Blaetter.;2
Welche Farbe entsteht aus Blau und Gelb?;Gruen;Orange;Lila;Rot;0;Allgemeinwissen;Blau und Gelb ergeben zusammen Gruen.;1
Welcher Planet ist der Sonne am naechsten?;Merkur;Venus;Erde;Mars;0;Allgemeinwissen;Merkur ist der innerste Planet unseres Sonnensystems.;2
Welches Meer liegt zwischen Europa und Afrika?;Nordsee;Mittelmeer;Schwarzes Meer;Kaspisches Meer;1;Allgemeinwissen;Das Mittelmeer trennt Europa und Afrika.;2
Welches Metall hat das chemische Symbol Au?;Silber;Kupfer;Gold;Eisen;2;Allgemeinwissen;Au steht fuer Gold.;2
Welches Tier gilt als groesstes an Land lebendes Saeugetier?;Nashorn;Giraffe;Elefant;Flusspferd;2;Allgemeinwissen;Der Elefant ist das groesste Landsaeugetier.;1
Wie heisst die Hauptstadt von Italien?;Mailand;Rom;Neapel;Turin;1;Allgemeinwissen;Rom ist die Hauptstadt von Italien.;1
Wie viele Kontinente gibt es nach gaengiger Zaehweise?;5;6;7;8;2;Allgemeinwissen;In der gaengigen Zaehweise gibt es sieben Kontinente.;2
Wie viele Minuten hat eine Stunde?;50;60;70;100;1;Allgemeinwissen;Eine Stunde besteht aus 60 Minuten.;1
Wie viele Tage hat ein Schaltjahr?;364;365;366;367;2;Allgemeinwissen;Ein Schaltjahr hat 366 Tage.;2
In welchem Film reist eine Gruppe mit einem Ring nach Mordor?;Narnia;Willow;Der Herr der Ringe;Die unendliche Geschichte;2;Filme;Die Reise nach Mordor ist Teil von Der Herr der Ringe.;2
Welche Animationsfilmfigur ist eine sprechende Spielzeug-Cowboypuppe?;Buzz;Woody;Shrek;Olaf;1;Filme;Woody ist der Cowboy aus Toy Story.;1
Welche Eiskoenigin ist eine Hauptfigur in einem Disney-Film?;Elsa;Arielle;Vaiana;Belle;0;Filme;Elsa ist die Eiskoenigin aus Frozen.;1
Welche Figur lebt in einer Ananas ganz tief im Meer?;Patrick Star;SpongeBob Schwammkopf;Plankton;Thaddaeus;1;Filme;SpongeBob wohnt in einer Ananas unter Wasser.;1
Welche Figur sagt oft Ich bin dein Vater in einem bekannten Science-Fiction-Film?;Yoda;Darth Vader;Han Solo;Obi-Wan Kenobi;1;Filme;Diese Zeile wird mit Darth Vader aus Star Wars verbunden.;2
Welche Rennwagen-Figur traegt die Startnummer 95?;Hook;Francesco;Lightning McQueen;Doc Hudson;2;Filme;Lightning McQueen ist in Cars mit der Nummer 95 unterwegs.;1
Welcher Film handelt von Dinosauriern in einem Freizeitpark?;Ice Age;King Kong;Jurassic Park;Jumanji;2;Filme;Jurassic Park zeigt einen Park mit wiederbelebten Dinosauriern.;2
Wie heisst das Schiff im Film Titanic?;Britannic;Queen Mary;Titanic;Olympic Star;2;Filme;Der Film Titanic handelt von der Titanic.;1
Wie heisst der gruene Oger aus den gleichnamigen Filmen?;Hulk;Shrek;Grinch;Yoda;1;Filme;Shrek ist der gruene Oger der Filmreihe.;1
Wie heisst der Zauberlehrling mit der blitzfoermigen Narbe?;Harry Potter;Frodo Beutlin;Percy Jackson;Bilbo Beutlin;0;Filme;Harry Potter ist an seiner Narbe auf der Stirn erkennbar.;1
In welchem Jahr begann der Erste Weltkrieg?;1912;1913;1914;1915;2;Geschichte;Der Erste Weltkrieg begann 1914.;3
In welchem Jahr fiel die Berliner Mauer?;1987;1988;1989;1990;2;Geschichte;Die Berliner Mauer fiel am 9. November 1989.;2
Welche antike Stadt wurde durch einen Vesuvausbruch verschuettet?;Athen;Pompeji;Sparta;Troja;1;Geschichte;Pompeji wurde im Jahr 79 n. Chr. verschuettet.;2
Welche Epoche kam in Europa direkt nach dem Mittelalter?;Antike;Renaissance;Barock;Aufklaerung;1;Geschichte;Die Renaissance folgte auf das Mittelalter.;3
Welche Stadt war frueher in Ost und West geteilt?;Wien;Berlin;Hamburg;Muenchen;1;Geschichte;Berlin war waehrend des Kalten Krieges geteilt.;2
Welches Reich regierte Julius Caesar mit?;Perserreich;Roemisches Reich;Byzantinisches Reich;Frankenreich;1;Geschichte;Julius Caesar war eine Schluesselfigur des Roemischen Reiches.;3
Wer schrieb die 95 Thesen und loeste die Reformation mit aus?;Martin Luther;Johannes Calvin;Otto von Bismarck;Karl der Grosse;0;Geschichte;Martin Luther veroefentlichte 1517 seine 95 Thesen.;3
Wer war der erste Bundeskanzler der Bundesrepublik Deutschland?;Willy Brandt;Helmut Kohl;Konrad Adenauer;Ludwig Erhard;2;Geschichte;Konrad Adenauer war der erste Bundeskanzler.;3
Wie hiess das Schiff, mit dem Christoph Kolumbus 1492 den Atlantik ueberquerte?;Victoria;Santa Maria;Mayflower;Endeavour;1;Geschichte;Die Santa Maria war das bekannteste seiner drei Schiffe.;3
Wie hiess die alte Handelsroute zwischen Europa und Asien?;Bernsteinstrasse;Salzstrasse;Seidenstrasse;Roemerweg;2;Geschichte;Die Seidenstrasse verband Europa mit Asien.;3
Bei welcher Sportart spielt man typischerweise Saetze und Spiele?;Tennis;Boxen;Ringen;Biathlon;0;Sport;Im Tennis wird in Spielen und Saetzen gezaehlt.;2
In welcher Sportart versucht man einen Ball in einen Korb zu werfen?;Tennis;Basketball;Handball;Golf;1;Sport;Beim Basketball wird auf Koerbe gespielt.;1
Welche Disziplin gehoert zur Leichtathletik?;100-Meter-Lauf;Schwimmen;Surfen;Skispringen;0;Sport;Der 100-Meter-Lauf ist eine klassische Leichtathletikdisziplin.;2
Welche Farbe hat eine gelbe Karte im Fussball?;Rot;Gruen;Gelb;Blau;2;Sport;Die Verwarnungskarte ist gelb.;1
Welche Sportart nutzt ein Fahrrad im Wettkampf?;Radsport;Judo;Volleyball;Tauchen;0;Sport;Im Radsport ist das Fahrrad das zentrale Sportgeraet.;1
Welche Sportart wird auf einem Eisfeld mit Schlaeger und Puck gespielt?;Curling;Eishockey;Fechten;Rudern;1;Sport;Eishockey wird mit Puck und Schlaegern auf Eis gespielt.;2
Wie heisst das Turnier um die Fussball-Weltmeisterschaft?;Champions Cup;Europa Liga;FIFA WM;Bundespokal;2;Sport;Die FIFA WM ist die Weltmeisterschaft im Fussball.;2
Wie nennt man den Bereich vor dem Tor im Fussball, in dem der Torwart haeufig agiert?;Mittelkreis;Strafraum;Einwurffeld;Laufbahn;1;Sport;Der Torwart bewegt sich vor allem im Strafraum.;2
Wie viele Minuten dauert ein normales Fussballspiel ohne Nachspielzeit?;80;90;100;120;1;Sport;Ein regulaeres Spiel dauert 90 Minuten.;1
Wie viele Spieler stehen pro Fussballmannschaft regulaer auf dem Feld?;9;10;11;12;2;Sport;Eine Fussballmannschaft spielt regulaer mit elf Spielern.;2
Was ist die chemische Formel von Wasser?;CO2;O2;H2O;NaCl;2;Wissenschaft;Wasser besteht aus zwei Wasserstoff- und einem Sauerstoffatom.;2
Welche Einheit misst elektrische Spannung?;Watt;Volt;Ohm;Tesla;1;Wissenschaft;Spannung wird in Volt gemessen.;2
Welche Kraft zieht Gegenstaende zur Erde?;Magnetismus;Reibung;Gravitation;Elektrizitaet;2;Wissenschaft;Die Schwerkraft wird auch Gravitation genannt.;2
Welcher Stern ist von der Erde aus am Tag sichtbar?;Sirius;Polarstern;Sonne;Vega;2;Wissenschaft;Die Sonne ist unser naechster Stern.;1
Welcher Teil einer Pflanze nimmt Wasser aus dem Boden auf?;Bluete;Blatt;Wurzel;Stengel;2;Wissenschaft;Die Wurzeln nehmen Wasser und Naehrstoffe auf.;1
Welches Blutgefaess fuehrt Blut vom Herzen weg?;Vene;Arterie;Kapillare;Sehne;1;Wissenschaft;Arterien fuehren Blut vom Herzen weg.;3
Welches Gas brauchen Pflanzen fuer die Photosynthese?;Sauerstoff;Kohlendioxid;Stickstoff;Helium;1;Wissenschaft;Pflanzen nutzen Kohlendioxid fuer die Photosynthese.;2
Welches Organ pumpt Blut durch den menschlichen Koerper?;Leber;Lunge;Herz;Magen;2;Wissenschaft;Das Herz pumpt Blut durch den Koerper.;1
Wie nennt man Tiere, die nur Pflanzen fressen?;Carnivoren;Omnivoren;Herbivoren;Insekten;2;Wissenschaft;Pflanzenfresser nennt man Herbivoren.;2
Wie viele Planeten hat unser Sonnensystem nach aktueller Definition?;7;8;9;10;1;Wissenschaft;Seit Pluto als Zwergplanet gilt, sind es acht Planeten.;3
"Welches Tier sagt typischerweise ""Miau""?";Hund;Katze;Kuh;Schaf;1;Kinder - Tiere;Eine Katze wird oft mit dem Laut Miau verbunden.;1
Welches Tier legt Eier?;Hase;Pferd;Huhn;Hund;2;Kinder - Tiere;Ein Huhn legt Eier.;1
Welches Tier ist fuer seine langen Ohren bekannt?;Hase;Pinguin;Fisch;Igel;0;Kinder - Tiere;Hasen und Kaninchen sind fuer ihre langen Ohren bekannt.;1
Welches Tier lebt typischerweise im Wasser?;Delfin;Katze;Esel;Huhn;0;Kinder - Tiere;Der Delfin lebt im Wasser.;1
Welches Tier traegt oft sein Haus auf dem Ruecken?;Schnecke;Maus;Ente;Ziege;0;Kinder - Tiere;Die Schnecke traegt ein Haus auf ihrem Ruecken.;1
Welches Tier ist schwarz-weiss und lebt am Nordpol nicht, sondern in der Antarktis?;Eisbaer;Pinguin;Walross;Robbe;1;Kinder - Tiere;Pinguine leben natuerlich in der Suedhalbkugel und viele Arten in der Antarktis.;2
"Welches Tier gibt Milch und sagt oft ""Muh""?";Kuh;Ziege;Pferd;Ente;0;Kinder - Tiere;Die Kuh sagt Muh und gibt Milch.;1
Welches Tier kann als Vogel besonders gut fliegen?;Strauss;Adler;Pinguin;Kiwi;1;Kinder - Tiere;Ein Adler ist ein kraeftiger fliegender Vogel.;2
Welches Tier ist fuer seinen langen Hals bekannt?;Igel;Giraffe;Biber;Fuchs;1;Kinder - Tiere;Die Giraffe hat einen sehr langen Hals.;1
Welches Tier liebt Bambus besonders gern?;Panda;Wolf;Loewe;Kamel;0;Kinder - Tiere;Pandas sind fuer ihre Bambusnahrung bekannt.;2
Wer traegt in einem bekannten Maerchen ein rotes Kaepchen?;Schneewittchen;Rotkaeppchen;Rapunzel;Aschenputtel;1;Kinder - Maerchen;Die Figur heisst bereits Rotkaeppchen.;1
Welche Figur hat sehr lange Haare im Turm?;Rapunzel;Elsa;Arielle;Mulan;0;Kinder - Maerchen;Rapunzel ist fuer ihre langen Haare bekannt.;1
Wer verliert auf dem Ball einen Schuh?;Dornroeschen;Aschenputtel;Frau Holle;Belle;1;Kinder - Maerchen;Aschenputtel verliert ihren Schuh.;1
Wie viele Zwerge leben mit Schneewittchen zusammen?;5;6;7;8;2;Kinder - Maerchen;Schneewittchen lebt bei den sieben Zwergen.;1
Wer legt Brotkrumen in den Wald?;Max und Moritz;Hansel und Gretel;Pinocchio und Gepetto;Biene Maja und Willi;1;Kinder - Maerchen;Hansel und Gretel streuen Brotkrumen.;2
Welche Holzfigur moechte ein echter Junge werden?;Tarzan;Pinocchio;Peter Pan;Dumbo;1;Kinder - Maerchen;Pinocchio ist die Holzpuppe mit diesem Wunsch.;2
Wer schlaeft in einem Maerchen sehr lange und wird durch einen Kuss geweckt?;Dornroeschen;Pippi Langstrumpf;Heidi;Vaiana;0;Kinder - Maerchen;Dornroeschen wird durch einen Kuss geweckt.;2
Wer hilft im Maerchen oft mit Zauberei bei Aschenputtel?;Eine gute Fee;Ein Drache;Ein Zauberer;Ein Pirat;0;Kinder - Maerchen;In vielen Versionen hilft eine gute Fee.;2
Welche Figur hat eine Nase, die beim Luegen laenger wird?;Peter Pan;Pinocchio;Bambi;Aladin;1;Kinder - Maerchen;Pinocchios Nase waechst beim Luegen.;1
"Wer sagt oft ""Knusper knusper knaeuschen""?";Der Wolf;Die Hexe;Der Riese;Der Koenig;1;Kinder - Maerchen;Diese Zeile stammt aus Hansel und Gretel.;3
Welche Farbe hat die Sonne in Kinderzeichnungen oft?;Blau;Gruen;Gelb;Lila;2;Kinder - Natur;Kinder malen die Sonne haeufig gelb.;1
Was braucht eine Pflanze zum Wachsen?;Steine;Sonnenlicht;Plastik;Sandpapier;1;Kinder - Natur;Pflanzen brauchen unter anderem Licht zum Wachsen.;1
Was faellt im Winter in vielen Regionen als Niederschlag?;Laub;Schnee;Staub;Sand;1;Kinder - Natur;Im Winter kann Schnee fallen.;1
Welcher Tag kommt direkt nach Montag?;Sonntag;Freitag;Dienstag;Samstag;2;Kinder - Natur;Auf Montag folgt Dienstag.;1
Womit schreibt man auf einer Schultafel?;Kreide;Loeffel;Pinsel;Gabel;0;Kinder - Natur;Auf klassischen Tafeln schreibt man mit Kreide.;1
Wie viele Beine hat ein normaler Stuhl?;2;3;4;5;2;Kinder - Natur;Ein normaler Stuhl hat meist vier Beine.;1
Was zeigt eine Uhr an?;Gewicht;Zeit;Geschmack;Temperatur;1;Kinder - Natur;Eine Uhr zeigt die Zeit an.;1
